Clock, Period, Thermistor1, Thermistor2, Thermistor3, Thermistor4, Heater1, Heater2, Heater3, Heater4
297, ECLIPSE, -15.0, 4.0, 3.0, 3.0, 1, 1, 1, 1
298, ECLIPSE, -11.0, 8.0, 7.0, 7.0, 1, 1, 1, 1
299, ECLIPSE, -7.0, 12.0, 11.0, 11.0, 1, 1, 1, 1
300, ECLIPSE, -3.0, 16.0, 15.0, 15.0, 1, 1, 1, 1
301, ECLIPSE, 1.0, 9.0, 8.0, 8.0, 1, 0, 0, 0
302, ECLIPSE, 5.0, 2.0, 1.0, 1.0, 1, 0, 0, 0
303, ECLIPSE, 9.0, -5.0, -6.0, -6.0, 1, 0, 0, 0
304, ECLIPSE, 13.0, -12.0, -13.0, -13.0, 1, 0, 0, 0
305, ECLIPSE, 17.0, -19.0, -20.0, -20.0, 1, 0, 0, 0
306, ECLIPSE, 10.0, -15.0, -16.0, -16.0, 0, 1, 1, 1
307, ECLIPSE, 3.0, -11.0, -12.0, -12.0, 0, 1, 1, 1
308, ECLIPSE, -4.0, -7.0, -8.0, -8.0, 0, 1, 1, 1
309, ECLIPSE, -11.0, -3.0, -4.0, -4.0, 0, 1, 1, 1
310, ECLIPSE, -18.0, 1.0, 0.0, 0.0, 0, 1, 1, 1
311, ECLIPSE, -14.0, 5.0, 4.0, 4.0, 1, 1, 1, 1
312, ECLIPSE, -10.0, 9.0, 8.0, 8.0, 1, 1, 1, 1
313, ECLIPSE, -6.0, 13.0, 12.0, 12.0, 1, 1, 1, 1
314, ECLIPSE, -2.0, 17.0, 16.0, 16.0, 1, 1, 1, 1
315, ECLIPSE, 2.0, 21.0, 20.0, 20.0, 1, 1, 1, 1
316, ECLIPSE, -5.0, 14.0, 13.0, 13.0, 0, 0, 0, 0
317, ECLIPSE, -12.0, 7.0, 6.0, 6.0, 0, 0, 0, 0
318, ECLIPSE, -19.0, 0.0, -1.0, -1.0, 0, 0, 0, 0
319, ECLIPSE, -26.0, -7.0, -8.0, -8.0, 0, 0, 0, 0
320, SUN_EXPOSURE, -27.0, -8.0, -9.0, -9.0, 0, 0, 0, 0
321, SUN_EXPOSURE, -20.0, -1.0, -2.0, -2.0, 1, 1, 1, 1
322, SUN_EXPOSURE, -13.0, 6.0, 5.0, 5.0, 1, 1, 1, 1
323, SUN_EXPOSURE, -6.0, 13.0, 12.0, 12.0, 1, 1, 1, 1
324, SUN_EXPOSURE, 1.0, 20.0, 19.0, 19.0, 1, 1, 1, 1
325, SUN_EXPOSURE, 8.0, 27.0, 26.0, 26.0, 1, 1, 1, 1
326, SUN_EXPOSURE, 7.0, 26.0, 25.0, 25.0, 0, 0, 0, 0
327, SUN_EXPOSURE, 6.0, 25.0, 24.0, 24.0, 0, 0, 0, 0
328, SUN_EXPOSURE, 5.0, 24.0, 23.0, 23.0, 0, 0, 0, 0
329, SUN_EXPOSURE, 4.0, 23.0, 22.0, 22.0, 0, 0, 0, 0
330, SUN_EXPOSURE, 3.0, 22.0, 21.0, 21.0, 0, 0, 0, 0
331, SUN_EXPOSURE, 2.0, 21.0, 20.0, 20.0, 0, 0, 0, 0
332, SUN_EXPOSURE, 1.0, 20.0, 19.0, 19.0, 0, 0, 0, 0
333, SUN_EXPOSURE, 0.0, 19.0, 18.0, 18.0, 0, 0, 0, 0
334, SUN_EXPOSURE, -1.0, 18.0, 17.0, 17.0, 0, 0, 0, 0
335, SUN_EXPOSURE, -2.0, 17.0, 16.0, 16.0, 0, 0, 0, 0
336, SUN_EXPOSURE, 5.0, 16.0, 15.0, 15.0, 1, 0, 0, 0
337, SUN_EXPOSURE, 12.0, 15.0, 14.0, 14.0, 1, 0, 0, 0
338, SUN_EXPOSURE, 19.0, 14.0, 13.0, 13.0, 1, 0, 0, 0
339, SUN_EXPOSURE, 26.0, 13.0, 12.0, 12.0, 1, 0, 0, 0
340, SUN_EXPOSURE, 33.0, 12.0, 11.0, 11.0, 1, 0, 0, 0
341, SUN_EXPOSURE, 32.0, 11.0, 10.0, 10.0, 0, 0, 0, 0
342, SUN_EXPOSURE, 31.0, 10.0, 9.0, 9.0, 0, 0, 0, 0
343, SUN_EXPOSURE, 30.0, 9.0, 8.0, 8.0, 0, 0, 0, 0
344, SUN_EXPOSURE, 29.0, 8.0, 7.0, 7.0, 0, 0, 0, 0
345, SUN_EXPOSURE, 28.0, 7.0, 6.0, 6.0, 0, 0, 0, 0
346, SUN_EXPOSURE, 27.0, 6.0, 5.0, 5.0, 0, 0, 0, 0
347, SUN_EXPOSURE, 26.0, 5.0, 4.0, 4.0, 0, 0, 0, 0
348, SUN_EXPOSURE, 25.0, 4.0, 3.0, 3.0, 0, 0, 0, 0
